320.8,11012
320.8,12001
320.8,12233
320.8,12541
320.8,14263
320.8,14631
320.8,15133
320.8,15233
320.8,17221
320.8,17548
320.8,221640
320.8,22991
320.8,23243
320.8,25053
320.8,26422
320.8,26706
320.8,26998
320.85,112553
320.85,11421
320.85,12588
320.85,12765
320.85,12905
320.85,12968
320.85,13074
320.85,13753
320.85,15018
320.85,15040
320.85,16494
320.85,20284
320.85,21278
320.85,22208
320.85,23036
320.85,24101
320.85,27738
320.8,5649
320.85,67830
320.85,7193
320.85,7794
320.85,9360
320.8,66146
320.8,682193
320.8,7683
320.8,8149
320.9,11397
320.9,11542
320.9,12581
320.9,13698
320.9,14430
320.9,15926
320.9,17682
320.9,18941
320.9,21341
320.9,23896
320.9,24236
320.9,38297
320.9,40141
320.9,41080
320.9,43228
320.9,4434
320.9,45544
320.9,4969522
320.95,107453
320.95,10937
320.95,11270
320.95,11732
320.95,130837
320.95,152008
320.95,16284
320.95,17673
320.95,17674
320.95,18456
320.95,21214
320.95,22275
320.95,22764
320.95,23348
320.95,25040
320.95,25166
320.95,31904
320.95,33834
320.95,34688
320.95,41319
320.95,58698
320.95,7547
320.95,7810
320.9,9189
320.9,93018
320.9,9827
321.0,10521
321.0,10698
321.0,11658
321.0,12575
321.0,127403
321.0,13138
321.0,14242
321.0,15287
321.0,16081
321.0,16294
321.0,16677
321.0,19140
321.0,21361
321.0,22412
321.0,23283
321.0,23465
321.0,2423
321.0,27417
321.0,28244
321.0,28255
321.0,28862
321.0,30894
321.0,31647
321.0,32730
321.0,36430
321.0,3751
321.0,37759
321.0,38398
321.0,40564
321.0,41060
321.0,44557
321.0,48926
321.0,50483
321.05,12812
321.0,51468
321.05,16870
321.05,17667
321.05,20945
321.05,23389
321.05,24701
321.0,52918
321.05,32105
321.0,5424
321.05,42673
321.05,43807
321.05,48072
321.05,4841
321.05,5552
321.05,587685
321.05,60101
321.05,71911
321.05,7417
321.05,8110
321.05,811905
321.05,8659
321.0,5935
321.0,6054
321.0,6679
321.0,7313
321.0,7972
321.0,8553
321.0,8859
321.0,8967
321.0,9114
321.0,9144
321.0,9294
321.0,9586
321.1,11065
321.1,13445
321.1,14023
321.1,17059
321.1,17232
321.1,1837
321.1,19934
321.1,23098
321.1,29049
321.1,29280
321.15,12649
321.15,12932
321.15,12990
321.15,13667
321.15,13710
321.15,15377
321.15,16051
321.15,16798
